"BM" "TL" "Sex" "Pop" "log_BM" "log_TL" "log_TL.sc"
"1" 197.125397203627 654.695798479952 "m" 7 5.28384006026469 6.48417069795273 0.854352358650845
"2" 136.185374608019 667.153071332723 "m" 9 4.91401700621697 6.50301951183926 0.956567987295752
"3" 157.084207446301 615.59797632508 "m" 9 5.05678201472352 6.42259411463814 0.520427411903781
"4" 60.9855212566133 488.742561638355 "m" 9 4.11063647955085 6.1918358920295 -0.73095619933628
"5" 120.017030338177 505.730614555068 "f" 8 4.78763365219724 6.22600414521945 -0.545664461589101
"6" 150.602859656778 528.751120180823 "m" 7 5.01464630361033 6.27051784890354 -0.304270163105828
"7" 197.002726863994 773.450308060273 "m" 9 5.2832175705914 6.65086142497631 1.7583030026839
"8" 414.914927510518 641.825385671109 "f" 7 6.02807350526601 6.46431628175938 0.746683428138977
"9" 276.896465663324 664.721140568145 "f" 8 5.62364366614935 6.49936761521779 0.936764040418399
"10" 125.184200849555 633.245609235019 "m" 8 4.82978625940573 6.4508583551586 0.673702155363066
"11" 173.580363011156 698.831112659536 "m" 8 5.15664067953293 6.54940910025037 1.20813506045826
"12" 202.621753828901 617.693120893091 "m" 7 5.3113409593422 6.42599176599275 0.538852606784387
"13" 285.359265189268 653.555101994425 "f" 8 5.65374896601672 6.48242684778731 0.844895596968456
"14" 165.044916231486 539.359786501155 "m" 7 5.10621765644032 6.2903828556483 -0.196543800870272
"15" 228.750194461927 518.769663991406 "f" 7 5.43263055426205 6.25145997731593 -0.407619495148012
"16" 89.2866240451347 568.496382189914 "m" 8 4.49185168993469 6.34299494938831 0.0887674271111156
"17" 307.387200624573 680.340047250502 "f" 9 5.72810819271184 6.52259274266311 1.06271207176255
"18" 204.870298219503 744.129249174148 "m" 8 5.32237708729243 6.61221474175343 1.54872509266544
"19" 119.99128707477 476.599062466994 "f" 9 4.78741913243572 6.16667559753512 -0.867398488708722
"20" 189.715259535338 572.521423362195 "f" 8 5.24552431406079 6.35005015544825 0.127027252210844
"21" 171.201668481268 566.018042713404 "m" 7 5.14284220946195 6.33862595528062 0.0650747172169403
"22" 179.030156154766 722.67507230863 "m" 9 5.18755426178961 6.58295970524716 1.39007734084831
"23" 147.066271378911 661.861563217826 "m" 9 4.99088331089424 6.49505641506228 0.913384742561106
"24" 261.215581771287 675.50569428131 "f" 9 5.56534605018384 6.51546158709279 1.02404037846808
"25" 108.306976088232 561.209414922632 "m" 9 4.68496956641286 6.33009412449997 0.0188072729105735
"26" 369.814966414786 764.845955464989 "m" 7 5.91300278978033 6.63967444814456 1.69763691109973
"27" 188.216379095176 723.978606052697 "m" 9 5.23759225362566 6.58476184229815 1.39985018770644
"28" 169.546057021029 686.587004316971 "m" 9 5.13312461274847 6.53173295325485 1.11227871172227
"29" 154.475160225918 713.088753283955 "m" 8 5.0400333081753 6.56960589132659 1.31766066291224
"30" 166.058569100058 567.598611139692 "f" 8 5.11234055203209 6.34141449838313 0.0801967661661006
"31" 207.292725947884 503.88708487153 "f" 7 5.33413192933204 6.2223522050178 -0.565468644798306
"32" 177.493975183918 761.765158176422 "m" 8 5.17893666571359 6.6356383168164 1.67574928976269
"33" 253.826647051586 578.481262736023 "f" 7 5.53665154209201 6.36040615671596 0.183187028958563
"34" 74.9560948173721 536.608055536635 "m" 8 4.31690253968637 6.28526795006042 -0.224281529794315
"35" 279.077447698018 688.651985558681 "f" 9 5.63148933361578 6.53473604262163 1.12856422811337
"36" 206.104423491566 723.606220306829 "m" 9 5.32838295050726 6.58424734981757 1.39706013562931
"37" 282.244348582353 750.378285860643 "m" 7 5.64277318009186 6.62057746052046 1.59407545588184
"38" 201.508468842522 730.866385670379 "m" 8 5.30583140949869 6.59423066010228 1.45119883861892
"39" 130.260357700297 567.483140178956 "m" 5 4.86953519916313 6.34121103997848 0.0790934273109652
"40" 89.3445961943009 493.173880665563 "m" 4 4.49250076069761 6.20086181097777 -0.682009353930064
"41" 286.378999206949 591.887416574173 "f" 4 5.65731610560657 6.38331644209271 0.307427696637479
"42" 263.564718285232 574.10035203211 "f" 6 5.57429894801481 6.35280421036293 0.141962274442051
"43" 91.1399241099241 575.88739565108 "m" 4 4.51239595315955 6.3559121479232 0.158816374303374
"44" 77.6286320853674 395.119045977481 "f" 5 4.35193632930868 5.97918710171609 -1.88413378988973
"45" 212.631484748224 673.478730022907 "m" 6 5.35956054877288 6.51245641409397 1.00774356270503
"46" 117.609878117962 559.107711119577 "m" 6 4.76737302953864 6.32634213995963 -0.00153944284383804
"47" 167.816473538687 496.327683352865 "f" 6 5.12287096286568 6.20723636051161 -0.647440675399266
"48" 78.3644477806697 355.5732145207 "f" 6 4.36137035232142 5.87373117605776 -2.45601294368613
"49" 75.1198907502177 437.290874752216 "m" 6 4.31908538056212 6.08059859095262 -1.33418729529715
"50" 124.051733029214 450.659305532463 "f" 6 4.82069868044904 6.11071163392373 -1.17088664220394
"51" 92.8458719924173 416.125123156234 "f" 5 4.5309408279242 6.03098599185485 -1.60323250079459
"52" 167.911775192581 455.979437986389 "f" 6 5.12343869380172 6.12244771636259 -1.1072427942919
"53" 112.838553266449 508.227045065723 "m" 6 4.72595806494605 6.2309282868367 -0.518961230607365
"54" 160.958041376467 472.574728261679 "f" 6 5.08114371845058 6.15819588947978 -0.913383275593467
"55" 102.712648958847 432.028895802796 "f" 5 4.63193527350668 6.06849247443958 -1.39983780876065
"56" 127.076481242713 557.081913179718 "m" 5 4.84478911970975 6.32271229047877 -0.0212238298193838
"57" 61.5411573654707 455.635139229707 "m" 4 4.11970617643578 6.12169235596872 -1.11133905403418
"58" 116.985861656992 589.121272996999 "m" 4 4.76205308695742 6.37863205888737 0.282024656582508
"59" 292.994895157346 613.729910040274 "f" 6 5.68015518619412 6.41955494544105 0.503946237443237
"60" 88.1120855288302 526.03172599338 "m" 4 4.47860970320276 6.26536152649557 -0.332232492173278
"61" 322.524025458403 626.175753260031 "f" 6 5.77617763100646 6.43963108770195 0.61281757090299
"62" 131.038926357025 462.130158231594 "f" 5 4.87549442682505 6.13584657917793 -1.03458181975836
"63" 181.016016293309 535.538313002325 "f" 6 5.19858551515934 6.28327243355132 -0.235103058176763
"64" 217.172003088438 696.776398574002 "m" 4 5.38068968052706 6.5464645538022 1.19216701768982
"65" 266.504473256306 614.6302041132 "f" 5 5.58539102866693 6.42102079283183 0.51189541204104
"66" 66.387537867974 465.320777939633 "m" 5 4.19550935615655 6.14272701278511 -0.997269771862879
"67" 79.9991461495168 421.457377029583 "f" 5 4.38201596148588 6.04371865021623 -1.53418430038456
"68" 222.917515094584 590.946686314419 "f" 5 5.40680181556664 6.38172580405513 0.298801792220543
"69" 356.448140861415 630.737818568014 "f" 5 5.87618876184353 6.44689027471956 0.652183568621621
"70" 122.091809838995 561.171982763335 "m" 5 4.80477330138115 6.33002742318188 0.0184455569320132
"71" 163.303952844615 579.94635112118 "m" 6 5.09561320571294 6.36293560119532 0.196904006543279
"72" 236.375727582084 567.902679857798 "f" 4 5.46542260505779 6.34195006576255 0.083101105754722
"73" 330.485494174799 649.317336943932 "f" 4 5.80056276778329 6.47592156013431 0.809617935945831
"74" 82.6486306076439 397.622264130041 "f" 3 4.41459825555922 5.9855024695176 -1.84988604921802
"75" 187.483850535933 607.611059816555 "f" 1 5.233692711226 6.40953497301901 0.449608718579252
"76" 97.7665589749911 441.454993141815 "f" 2 4.58258258579738 6.09007607405906 -1.28279165313484
"77" 114.006403447222 490.707037667744 "m" 3 4.73625461740665 6.19584728509153 -0.709202731662111
"78" 107.766100449262 438.549647107721 "f" 3 4.67996314194426 6.08347302571737 -1.31859946264905
"79" 93.6949684864877 483.60430917237 "m" 3 4.54004448968612 6.18126702931378 -0.788270306900418
"80" 95.6328097527184 613.549605803565 "m" 1 4.5605159594285 6.41926111793774 0.502352834105209
"81" 92.7348212884984 574.77530199103 "m" 1 4.52974403621909 6.35397918527725 0.148334070579009
"82" 67.5369477183986 504.22732247971 "m" 1 4.2126748217301 6.223027203051 -0.561808183789336
"83" 95.7852911910861 631.525559187867 "m" 1 4.56210913656137 6.44813841474485 0.658952133375351
"84" 216.170093580491 724.344229931012 "m" 2 5.37606556807217 6.58526673509828 1.40258818147491
"85" 155.2507755165 555.055363592692 "f" 1 5.04504171607647 6.31906786299238 -0.0409872721672368
"86" 96.4342959802726 424.813344026916 "f" 2 4.56886190577649 6.05164988192711 -1.49117385738607
"87" 91.9029717262191 446.954024257139 "f" 2 4.52073336535917 6.10245573531286 -1.21565772815231
"88" 84.7796916099023 560.058552818373 "m" 1 4.44005602838429 6.32804133686756 0.00767516775083825
"89" 88.955664348247 515.205459459685 "m" 2 4.48813809222203 6.24456577151134 -0.445006228582074
"90" 75.4707630002111 415.492962882854 "f" 1 4.32374533622594 6.02946567764872 -1.6114770446292
"91" 136.293048807638 698.523158207536 "m" 1 4.9148073381917 6.54896833234576 1.20574481093234
"92" 115.772280868768 601.055980776437 "m" 2 4.75162516574912 6.39868807624803 0.390786854298182
"93" 159.838981097728 591.247894265689 "f" 1 5.07416694036622 6.38223537830414 0.301565173116378
"94" 267.481770554952 719.570053368807 "m" 3 5.58905141655579 6.57865388554729 1.36672722077688
"95" 163.015874078274 630.502029624767 "m" 3 5.09384758304823 6.44651637447159 0.650155937115112
"96" 72.8346960692224 381.481803790666 "f" 2 4.28819243602507 5.94406315310119 -2.07460818842619
"97" 61.8977189992702 433.847544086166 "m" 3 4.12548332924212 6.07269319147936 -1.37705765211176
"98" 159.947144277487 710.646321065724 "m" 1 5.07484341239112 6.56617486731343 1.29905449074073
"99" 80.658859332998 550.292344391346 "m" 1 4.39022864767647 6.31044967226868 -0.0877230396222747
"100" 63.9892871383436 418.213850050233 "f" 1 4.15871568088528 6.03599290469155 -1.57608040802874
"101" 94.8502626921571 419.937953888439 "f" 2 4.55229946593077 6.04010697152738 -1.5537701485905
"102" 72.9959125998085 462.125317822211 "m" 3 4.29040344779735 6.13583610499735 -1.03463862041223
"103" 119.037513185268 614.660198264755 "m" 2 4.77943868028583 6.42106959196262 0.512160045872157
"104" 122.775064875264 523.284394131042 "f" 1 4.81035394033294 6.26012509090222 -0.360629268716082
"105" 117.602312974284 594.47886927519 "m" 2 4.76730870341979 6.38768517180729 0.331118972748687
"106" 318.850242600765 629.233789769933 "f" 3 5.76472153362273 6.4445028724916 0.639236874944863
"107" 168.750882004428 518.521630577743 "f" 1 5.12842355643189 6.25098174440356 -0.410212914451268
"108" 141.054899478378 531.741265114397 "f" 1 4.94914917260069 6.27615702726822 -0.273689344330854
"109" 76.7008860940677 486.401259875856 "m" 3 4.33991326103226 6.1870339208539 -0.756996909664461
"110" 130.951717443664 692.090860009194 "m" 1 4.87482868613052 6.53971724758982 1.15557690913926
"111" 69.159462369714 506.213525007479 "m" 1 4.23641488706761 6.22695856645713 -0.540488710616754
"112" 90.7822111043947 421.256062225439 "f" 3 4.5084633534666 6.04324087260264 -1.53677525063849
"113" 148.538548717192 530.058312509209 "f" 2 5.00084451187696 6.2729870240963 -0.290880021101046
"114" 104.696896831814 422.193552460522 "f" 3 4.65106947877263 6.04546386400562 -1.52472014387707
"115" 188.315314779076 716.929595940746 "m" 2 5.23811776416189 6.57497764322716 1.34679124909903
